date,amount,category,merchant
2018-04-01,59.48,Restaurants,Brewing Company
2018-04-01,13.13,Shopping,Amazon
2018-04-02,817.14,Credit Card Payment,Credit Card Payment
2018-04-02,82.36,Groceries,Grocery Store
2018-04-02,13.89,Home Improvement,Hardware Store
2018-04-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-04-03,6.41,Movies & DVDs,Amazon Video
2018-04-04,363.08,Credit Card Payment,Credit Card Payment
2018-04-04,11.76,Movies & DVDs,Netflix
2018-04-06,4.58,Gas & Fuel,Chevron
2018-04-06,9.76,Restaurants,Tiny Deli
2018-04-08,22.0,Restaurants,Irish Pub
2018-04-09,6.48,Groceries,Blue Sky Market
2018-04-09,10.69,Music,Spotify
2018-04-09,30.0,Utilities,Gas Company
2018-04-11,89.52,Mobile Phone,Phone Company
2018-04-12,7.0,Coffee Shops,Starbucks
2018-04-12,30.0,Haircut,Barbershop
2018-04-13,37.98,Gas & Fuel,BP
2018-04-13,10.66,Restaurants,American Tavern
2018-04-14,11.61,Home Improvement,Hardware Store
2018-04-14,41.0,Restaurants,American Tavern
2018-04-16,75.0,Auto Insurance,State Farm
2018-04-16,35.0,Utilities,City Water Charges
2018-04-18,60.0,Utilities,Power Company
2018-04-20,24.22,Restaurants,Thai Restaurant
2018-04-21,4.32,Groceries,Grocery Store
2018-04-21,35.15,Restaurants,American Tavern
2018-04-22,21.32,Groceries,Grocery Store
2018-04-23,42.7,Home Improvement,Hardware Store
2018-04-24,224.7,Home Improvement,Hardware Store
2018-04-24,41.34,Shopping,Amazon
2018-04-25,210.79,Home Improvement,Hardware Store
2018-04-25,74.99,Internet,Internet Service Provider
2018-04-26,1216.94,Credit Card Payment,Credit Card Payment
2018-04-27,769.72,Credit Card Payment,Credit Card Payment
2018-04-28,22.98,Groceries,Grocery Store
2018-04-29,39.0,Gas & Fuel,QuikTrip
2018-04-29,51.05,Groceries,Grocery Store
2018-04-29,68.47,Home Improvement,Hardware Store
2018-04-30,5.09,Groceries,Grocery Store
2018-05-01,13.13,Shopping,Amazon
2018-05-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-05-03,49.72,Shopping,Amazon
2018-05-04,42.23,Groceries,Grocery Store
2018-05-04,11.76,Movies & DVDs,Netflix
2018-05-05,7.27,Fast Food,Bojangles
2018-05-05,20.52,Fast Food,Pizza Place
2018-05-06,22.37,Home Improvement,Hardware Store
2018-05-06,117.69,Shopping,Amazon
2018-05-09,601.4,Credit Card Payment,Credit Card Payment
2018-05-09,10.69,Music,Spotify
2018-05-09,30.0,Utilities,Gas Company
2018-05-10,111.18,Mobile Phone,Phone Company
2018-05-11,57.32,Groceries,Grocery Store
2018-05-11,8000.0,Home Improvement,Mike's Construction Co.
2018-05-12,27.77,Alcohol & Bars,Liquor Store
2018-05-12,33.3,Gas & Fuel,Shell
2018-05-12,78.0,Restaurants,Fancy Restaurant
2018-05-14,67.63,Groceries,Grocery Store
2018-05-15,60.0,Utilities,Power Company
2018-05-17,29.0,Haircut,Barbershop
2018-05-17,35.0,Utilities,City Water Charges
2018-05-18,75.0,Auto Insurance,State Farm
2018-05-18,6.41,Shopping,Amazon
2018-05-19,31.0,Groceries,Grocery Store
2018-05-19,23.26,Restaurants,Greek Restaurant
2018-05-21,26.04,Restaurants,Thai Restaurant
2018-05-21,32.5,Shopping,Amazon
2018-05-22,283.07,Credit Card Payment,Credit Card Payment
2018-05-24,39.44,Gas & Fuel,BP
2018-05-25,74.99,Internet,Internet Service Provider
2018-05-28,9.62,Entertainment,Movie Theater
2018-05-28,91.03,Groceries,Grocery Store
2018-05-29,20.0,Movies & DVDs,Movie Theater
2018-05-29,6.25,Movies & DVDs,Movie Theater
2018-06-01,38.63,Gas & Fuel,BP
2018-06-01,6.11,Groceries,Grocery Store
2018-06-01,13.13,Shopping,Amazon
2018-06-03,65.81,Restaurants,Italian Restaurant
2018-06-04,235.18,Credit Card Payment,Credit Card Payment
2018-06-04,24.12,Groceries,Grocery Store
2018-06-04,1247.44,Mortgage & Rent,Mortgage Payment
2018-06-04,11.76,Movies & DVDs,Netflix
2018-06-06,4.0,Coffee Shops,Starbucks
2018-06-08,30.0,Utilities,Gas Company
2018-06-09,16.18,Fast Food,Chick-Fil-A
2018-06-09,9.56,Groceries,Grocery Store
2018-06-09,10.69,Music,Spotify
2018-06-10,46.01,Groceries,Grocery Store
2018-06-12,12.55,Groceries,Grocery Store
2018-06-12,89.46,Mobile Phone,Phone Company
2018-06-14,283.44,Credit Card Payment,Credit Card Payment
2018-06-14,7.02,Groceries,Grocery Store
2018-06-15,60.0,Utilities,Power Company
2018-06-16,3.0,Coffee Shops,Starbucks
2018-06-16,22.66,Fast Food,Pizza Place
2018-06-16,13.9,Groceries,Grocery Store
2018-06-18,35.0,Utilities,City Water Charges
2018-06-19,38.52,Gas & Fuel,Shell
2018-06-19,2.69,Groceries,Grocery Store
2018-06-20,75.0,Auto Insurance,State Farm
2018-06-20,30.0,Haircut,Barbershop
2018-06-21,89.45,Credit Card Payment,Credit Card Payment
2018-06-23,8.5,Restaurants,Brunch Restaurant
2018-06-23,74.97,Shopping,Amazon
2018-06-25,942.76,Credit Card Payment,Credit Card Payment
2018-06-25,74.99,Internet,Internet Service Provider
2018-06-26,9.62,Groceries,Grocery Store
2018-06-27,3.5,Coffee Shops,Starbucks
2018-06-27,22.66,Fast Food,Pizza Place
2018-06-28,7.57,Groceries,Grocery Store
2018-07-01,13.13,Shopping,Amazon
2018-07-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-07-02,25.0,Movies & DVDs,Movie Theater
2018-07-02,36.44,Restaurants,American Tavern
2018-07-04,34.48,Gas & Fuel,BP
2018-07-04,11.76,Movies & DVDs,Netflix
2018-07-05,44.25,Groceries,Grocery Store
2018-07-05,212.32,Shopping,Amazon
2018-07-06,6.41,Movies & DVDs,Amazon Video
2018-07-09,259.87,Credit Card Payment,Credit Card Payment
2018-07-09,10.69,Music,Spotify
2018-07-10,242.16,Credit Card Payment,Credit Card Payment
2018-07-10,5.39,Groceries,Grocery Store
2018-07-10,30.0,Utilities,Gas Company
2018-07-11,89.46,Mobile Phone,Phone Company
2018-07-14,33.51,Gas & Fuel,Go Mart
2018-07-15,36.24,Gas & Fuel,Circle K
2018-07-17,15.23,Fast Food,Wendy's
2018-07-17,35.0,Utilities,City Water Charges
2018-07-17,60.0,Utilities,Power Company
2018-07-18,28.54,Alcohol & Bars,Irish Restaurant
2018-07-18,75.0,Auto Insurance,State Farm
2018-07-20,102.88,Credit Card Payment,Credit Card Payment
2018-07-21,28.93,Groceries,Grocery Store
2018-07-21,30.0,Haircut,Barbershop
2018-07-23,61.43,Credit Card Payment,Credit Card Payment
2018-07-23,9.58,Fast Food,Starbucks
2018-07-24,26.59,Restaurants,American Tavern
2018-07-25,74.99,Internet,Internet Service Provider
2018-07-26,33.67,Gas & Fuel,Conoco
2018-07-28,7.61,Groceries,Grocery Store
2018-07-30,34.38,Restaurants,American Tavern
2018-07-31,6.6,Alcohol & Bars,Brewing Company
2018-08-01,13.13,Shopping,Amazon
2018-08-02,40.44,Gas & Fuel,Shell
2018-08-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-08-03,6.27,Groceries,Grocery Store
2018-08-04,11.76,Movies & DVDs,Netflix
2018-08-06,76.47,Shopping,Amazon
2018-08-09,10.69,Music,Spotify
2018-08-09,30.0,Utilities,Gas Company
2018-08-10,89.4,Mobile Phone,Phone Company
2018-08-11,13.67,Fast Food,Chick-Fil-A
2018-08-11,33.66,Gas & Fuel,Valero
2018-08-15,41.07,Gas & Fuel,Shell
2018-08-15,5.64,Groceries,Grocery Store
2018-08-15,60.0,Utilities,Power Company
2018-08-16,269.56,Credit Card Payment,Credit Card Payment
2018-08-16,35.0,Utilities,City Water Charges
2018-08-17,14.98,Shopping,Amazon
2018-08-18,23.47,Shopping,Amazon
2018-08-20,75.0,Auto Insurance,State Farm
2018-08-21,99.76,Credit Card Payment,Credit Card Payment
2018-08-22,34.18,Credit Card Payment,Credit Card Payment
2018-08-24,42.31,Restaurants,American Tavern
2018-08-27,74.99,Internet,Internet Service Provider
2018-08-30,35.65,Gas & Fuel,Shell
2018-08-31,11.64,Groceries,Grocery Store
2018-09-01,47.4,Alcohol & Bars,Brewing Company
2018-09-01,13.13,Shopping,Amazon
2018-09-02,109.83,Shopping,Amazon
2018-09-04,687.29,Credit Card Payment,Credit Card Payment
2018-09-04,1247.44,Mortgage & Rent,Mortgage Payment
2018-09-04,11.76,Movies & DVDs,Netflix
2018-09-07,30.0,Utilities,Gas Company
2018-09-09,18.0,Alcohol & Bars,Brewing Company
2018-09-09,10.69,Music,Spotify
2018-09-11,38.86,Gas & Fuel,BP
2018-09-11,7.87,Groceries,Grocery Store
2018-09-12,47.16,Groceries,Grocery Store
2018-09-12,89.4,Mobile Phone,Phone Company
2018-09-13,5.64,Groceries,Grocery Store
2018-09-17,10.17,Groceries,Grocery Store
2018-09-17,8.8,Groceries,Grocery Store
2018-09-17,35.0,Utilities,City Water Charges
2018-09-18,4.32,Groceries,Grocery Store
2018-09-18,60.0,Utilities,Power Company
2018-09-19,75.0,Auto Insurance,State Farm
2018-09-19,30.0,Haircut,Barbershop
2018-09-20,47.38,Shopping,Amazon
2018-09-22,69.4,Home Improvement,Hardware Store
2018-09-22,6.83,Home Improvement,Hardware Store
2018-09-25,74.99,Internet,Internet Service Provider
2018-09-25,48.64,Restaurants,Sushi Restaurant
2018-09-26,5.0,Coffee Shops,Starbucks
2018-09-26,38.0,Gas & Fuel,Exxon
2018-09-27,40.71,Gas & Fuel,Valero
2018-09-28,284.96,Credit Card Payment,Credit Card Payment
2018-09-28,13.36,Groceries,Grocery Store
2018-09-29,23.26,Restaurants,Greek Restaurant
2018-09-29,46.7,Restaurants,German Restaurant
2018-10-01,3.0,Coffee Shops,Starbucks
2018-10-01,128.12,Credit Card Payment,Credit Card Payment
2018-10-01,15.66,Groceries,Grocery Store
2018-10-01,13.13,Shopping,Amazon
2018-10-02,124.03,Credit Card Payment,Credit Card Payment
2018-10-02,1209.18,Mortgage & Rent,Mortgage Payment
2018-10-04,11.76,Movies & DVDs,Netflix
2018-10-06,27.0,Restaurants,American Tavern
2018-10-08,38.06,Gas & Fuel,Shell
2018-10-08,80.65,Home Improvement,Hardware Store
2018-10-08,31.2,Home Improvement,Hardware Store
2018-10-09,10.69,Music,Spotify
2018-10-09,19.98,Shopping,Amazon
2018-10-09,30.0,Utilities,Gas Company
2018-10-10,53.68,Groceries,Grocery Store
2018-10-11,89.4,Mobile Phone,Phone Company
2018-10-16,60.0,Utilities,Power Company
2018-10-17,35.0,Utilities,City Water Charges
2018-10-18,75.0,Auto Insurance,State Farm
2018-10-18,33.55,Groceries,Grocery Store
2018-10-18,45.24,Home Improvement,Hardware Store
2018-10-18,8.0,Restaurants,Brunch Restaurant
2018-10-22,353.83,Credit Card Payment,Credit Card Payment
2018-10-22,34.66,Gas & Fuel,BP
2018-10-23,7.57,Groceries,Grocery Store
2018-10-25,74.99,Internet,Internet Service Provider
2018-10-25,29.98,Shopping,Amazon
2018-10-27,25.4,Restaurants,American Tavern
2018-10-28,12.71,Alcohol & Bars,Brewing Company
2018-10-28,14.75,Food & Dining,Seafood Restaurant
2018-10-28,92.49,Groceries,Grocery Store
2018-10-28,54.0,Restaurants,Italian Restaurant
2018-10-31,5.64,Groceries,Grocery Store
2018-11-01,13.13,Shopping,Amazon
2018-11-02,262.51,Credit Card Payment,Credit Card Payment
2018-11-02,1209.18,Mortgage & Rent,Mortgage Payment
2018-11-03,23.66,Fast Food,Pizza Place
2018-11-04,11.76,Movies & DVDs,Netflix
2018-11-05,36.51,Gas & Fuel,Shell
2018-11-06,53.95,Shopping,Amazon
2018-11-06,30.0,Utilities,Gas Company
2018-11-08,5.64,Groceries,Grocery Store
2018-11-09,10.69,Music,Spotify
2018-11-10,27.0,Alcohol & Bars,Brewing Company
2018-11-10,14.19,Fast Food,Chick-Fil-A
2018-11-10,24.4,Groceries,Food Truck
2018-11-12,10.18,Groceries,Grocery Store
2018-11-12,22.33,Restaurants,American Tavern
2018-11-13,4.8,Groceries,Grocery Store
2018-11-13,37.43,Groceries,Grocery Store
2018-11-13,10.15,Groceries,Grocery Store
2018-11-13,89.54,Mobile Phone,Phone Company
2018-11-14,60.0,Utilities,Power Company
2018-11-16,35.0,Utilities,City Water Charges
2018-11-17,22.8,Alcohol & Bars,Brewing Company
2018-11-17,15.47,Home Improvement,Hardware Store
2018-11-17,6.4,Home Improvement,Hardware Store
2018-11-17,23.26,Restaurants,Greek Restaurant
2018-11-19,20.0,Alcohol & Bars,Brewing Company
2018-11-19,29.15,Gas & Fuel,QuikTrip
2018-11-19,10.02,Home Improvement,Hardware Store
2018-11-20,75.0,Auto Insurance,State Farm
2018-11-21,5.64,Groceries,Grocery Store
2018-11-21,37.41,Home Improvement,Hardware Store
2018-11-26,16.8,Alcohol & Bars,American Tavern
2018-11-26,74.99,Internet,Internet Service Provider
2018-11-27,17.0,Movies & DVDs,Movie Theater
2018-11-27,28.4,Restaurants,American Tavern
2018-11-30,582.99,Credit Card Payment,Credit Card Payment
2018-11-30,6.27,Groceries,Grocery Store
2018-12-01,5.64,Groceries,Grocery Store
2018-12-01,8.0,Restaurants,Brunch Restaurant
2018-12-01,13.13,Shopping,Amazon
2018-12-03,30.03,Gas & Fuel,BP
2018-12-03,148.15,Groceries,Grocery Store
2018-12-03,1209.18,Mortgage & Rent,Mortgage Payment
2018-12-04,3.0,Coffee Shops,Starbucks
2018-12-04,20.65,Fast Food,Latin Restaurant
2018-12-04,11.76,Movies & DVDs,Netflix
2018-12-06,21.38,Groceries,Grocery Store
2018-12-06,13.48,Groceries,Grocery Store
2018-12-06,40.0,Utilities,Gas Company
2018-12-07,30.0,Haircut,Barbershop
2018-12-08,12.64,Groceries,Grocery Store
2018-12-09,10.69,Music,Spotify
2018-12-11,10.29,Restaurants,Brunch Restaurant
2018-12-12,89.54,Mobile Phone,Phone Company
2018-12-13,27.0,Restaurants,Thai Restaurant
2018-12-14,21.39,Groceries,Grocery Store
2018-12-14,17.1,Home Improvement,Hardware Store
2018-12-14,60.0,Utilities,Power Company
2018-12-17,63.0,Food & Dining,American Tavern
2018-12-17,20.01,Gas & Fuel,BP
2018-12-17,35.0,Utilities,City Water Charges
2018-12-18,3.0,Coffee Shops,Starbucks
2018-12-18,311.02,Credit Card Payment,Credit Card Payment
2018-12-18,56.52,Restaurants,Fancy Restaurant
2018-12-18,49.99,Shopping,Amazon
2018-12-18,41.72,Shopping,Amazon
2018-12-18,24.3,Shopping,Amazon
2018-12-19,75.0,Auto Insurance,State Farm
2018-12-19,43.01,Shopping,Amazon
2018-12-20,30.38,Gas & Fuel,Shell
2018-12-21,464.03,Credit Card Payment,Credit Card Payment
2018-12-22,21.38,Fast Food,New York Deli
2018-12-22,22.14,Home Improvement,Hardware Store
2018-12-23,28.0,Home Improvement,Hardware Store
2018-12-24,38.4,Home Improvement,Hardware Store
2018-12-26,56.07,Fast Food,Chick-Fil-A
2018-12-26,32.47,Gas & Fuel,Shell
2018-12-26,7.48,Gas & Fuel,Shell
2018-12-26,75.99,Internet,Internet Service Provider
2018-12-26,44.99,Shopping,Amazon
2018-12-28,12.0,Alcohol & Bars,Brewing Company
2018-12-29,14.0,Alcohol & Bars,Brewing Company
2018-12-29,55.04,Groceries,Grocery Store
2019-01-01,13.09,Shopping,Amazon
2019-01-02,499.6,Credit Card Payment,Credit Card Payment
2019-01-03,1100.0,Mortgage & Rent,Mortgage Payment
2019-01-03,42.1,Shopping,Amazon
2019-01-05,23.49,Restaurants,American Tavern
2019-01-08,45.0,Utilities,Gas Company
2019-01-09,491.45,Credit Card Payment,Credit Card Payment
2019-01-09,281.84,Credit Card Payment,Credit Card Payment
2019-01-09,10.69,Music,Spotify
2019-01-10,58.79,Groceries,Grocery Store
2019-01-10,30.0,Haircut,Barbershop
2019-01-10,65.0,Mobile Phone,Phone Company
2019-01-14,28.92,Gas & Fuel,Shell
2019-01-15,6.06,Groceries,Grocery Store
2019-01-16,35.0,Utilities,City Water Charges
2019-01-16,60.0,Utilities,Power Company
2019-01-18,75.0,Auto Insurance,State Farm
2019-01-22,277.99,Credit Card Payment,Credit Card Payment
2019-01-24,21.06,Groceries,Grocery Store
2019-01-24,11.7,Shopping,Amazon
2019-01-24,4.21,Shopping,Amazon
2019-01-25,75.0,Internet,Internet Service Provider
2019-01-31,1900.0,Credit Card Payment,Credit Card Payment
2019-01-31,31.32,Gas & Fuel,Shell
2019-02-01,9.47,Restaurants,Roadside Diner
2019-02-01,13.09,Shopping,Amazon
2019-02-04,86.97,Home Improvement,Hardware Store
2019-02-04,11.76,Television,Netflix
2019-02-05,1100.0,Mortgage & Rent,Mortgage Payment
2019-02-07,65.0,Utilities,Gas Company
2019-02-08,3.0,Coffee Shops,Starbucks
2019-02-08,27.47,Restaurants,Thai Restaurant
2019-02-09,10.69,Music,Spotify
2019-02-11,3.0,Coffee Shops,Starbucks
2019-02-11,133.95,Credit Card Payment,Credit Card Payment
2019-02-11,24.01,Gas & Fuel,BP
2019-02-12,30.54,Groceries,Grocery Store
2019-02-12,65.0,Mobile Phone,Phone Company
2019-02-13,8.21,Groceries,Grocery Store
2019-02-15,207.47,Credit Card Payment,Credit Card Payment
2019-02-15,4.59,Groceries,Grocery Store
2019-02-15,60.0,Utilities,Power Company
2019-02-16,8.0,Alcohol & Bars,Brewing Company
2019-02-16,32.75,Restaurants,American Tavern
2019-02-16,37.45,Shopping,Amazon
2019-02-19,574.84,Credit Card Payment,Credit Card Payment
2019-02-19,35.0,Utilities,City Water Charges
2019-02-20,75.0,Auto Insurance,State Farm
2019-02-20,30.0,Haircut,Barbershop
2019-02-21,292.54,Credit Card Payment,Credit Card Payment
2019-02-21,46.96,Groceries,Grocery Store
2019-02-25,33.8,Gas & Fuel,BP
2019-02-25,75.0,Internet,Internet Service Provider
2019-02-27,25.77,Restaurants,Roadside Diner
2019-02-28,32.07,Groceries,Grocery Store
2019-03-01,13.09,Shopping,Amazon
2019-03-04,92.04,Groceries,Grocery Store
2019-03-04,1100.0,Mortgage & Rent,Mortgage Payment
2019-03-04,11.76,Television,Netflix
2019-03-05,7.0,Restaurants,Fancy Restaurant
2019-03-06,491.86,Credit Card Payment,Credit Card Payment
2019-03-08,34.08,Gas & Fuel,BP
2019-03-08,27.17,Shopping,Amazon
2019-03-08,49.0,Utilities,Gas Company
2019-03-09,10.69,Music,Spotify
2019-03-12,65.0,Mobile Phone,Phone Company
2019-03-12,3.02,Restaurants,Bakery Place
2019-03-14,305.27,Credit Card Payment,Credit Card Payment
2019-03-14,301.79,Credit Card Payment,Credit Card Payment
2019-03-14,8.0,Restaurants,Brunch Restaurant
2019-03-15,60.0,Utilities,Power Company
2019-03-18,320.99,Electronics & Software,Best Buy
2019-03-18,16.23,Groceries,Grocery Store
2019-03-19,13.84,Shopping,Amazon
2019-03-19,35.0,Utilities,City Water Charges
2019-03-20,75.0,Auto Insurance,State Farm
2019-03-22,37.51,Gas & Fuel,BP
2019-03-23,5.2,Coffee Shops,Starbucks
2019-03-25,75.0,Internet,Internet Service Provider
2019-03-26,16.04,Shopping,Amazon
2019-03-27,49.63,Alcohol & Bars,Brewing Company
2019-03-27,4.46,Groceries,Grocery Store
2019-03-30,12.84,Coffee Shops,Starbucks
2019-04-01,1552.65,Credit Card Payment,Credit Card Payment
2019-04-01,13.09,Shopping,Amazon
2019-04-02,1100.0,Mortgage & Rent,Mortgage Payment
2019-04-04,5.64,Groceries,Grocery Store
2019-04-04,35.9,Shopping,Amazon
2019-04-04,11.76,Television,Netflix
2019-04-06,27.54,Shopping,Amazon
2019-04-08,30.0,Utilities,Gas Company
2019-04-09,436.75,Credit Card Payment,Credit Card Payment
2019-04-09,10.7,Groceries,Grocery Store
2019-04-09,30.0,Haircut,Barbershop
2019-04-09,10.69,Music,Spotify
2019-04-10,65.0,Mobile Phone,Phone Company
2019-04-12,44.93,Electronics & Software,Best Buy
2019-04-12,41.34,Groceries,Grocery Store
2019-04-13,38.94,Gas & Fuel,QuikTrip
2019-04-13,16.87,Groceries,Grocery Store
2019-04-13,20.64,Restaurants,Vietnamese Restaurant
2019-04-15,60.0,Utilities,Power Company
2019-04-16,35.0,Utilities,City Water Charges
2019-04-18,75.0,Auto Insurance,State Farm
2019-04-19,604.32,Credit Card Payment,Credit Card Payment
2019-04-19,10.89,Groceries,Grocery Store
2019-04-22,14.4,Alcohol & Bars,Brewing Company
2019-04-22,64.52,Restaurants,Greek Restaurant
2019-04-23,29.56,Home Improvement,Hardware Store
2019-04-25,75.0,Internet,Internet Service Provider
2019-04-27,40.0,Alcohol & Bars,Brewing Company
2019-04-27,14.74,Restaurants,American Tavern
2019-04-29,268.96,Credit Card Payment,Credit Card Payment
2019-04-29,5.64,Groceries,Grocery Store
2019-04-30,39.08,Gas & Fuel,BP
2019-05-01,13.09,Shopping,Amazon
2019-05-02,1100.0,Mortgage & Rent,Mortgage Payment
2019-05-03,758.07,Credit Card Payment,Credit Card Payment
2019-05-04,13.9,Television,Netflix
2019-05-06,16.94,Shopping,Amazon
2019-05-07,38.56,Shopping,Amazon
2019-05-09,331.69,Electronics & Software,Best Buy
2019-05-09,10.69,Music,Spotify
2019-05-09,3.2,Shopping,Target
2019-05-09,30.0,Utilities,Gas Company
2019-05-10,21.39,Electronics & Software,Best Buy
2019-05-10,65.0,Mobile Phone,Phone Company
2019-05-13,480.88,Credit Card Payment,Credit Card Payment
2019-05-13,35.24,Gas & Fuel,QuikTrip
2019-05-13,98.19,Restaurants,Fancy Restaurant
2019-05-13,23.11,Restaurants,Greek Restaurant
2019-05-14,2.02,Groceries,Grocery Store
2019-05-15,60.0,Utilities,Power Company
2019-05-17,35.0,Utilities,City Water Charges
2019-05-20,75.0,Auto Insurance,State Farm
2019-05-20,415.47,Credit Card Payment,Credit Card Payment
2019-05-20,32.53,Restaurants,American Tavern
2019-05-24,27.96,Home Improvement,Hardware Store
2019-05-24,8.0,Restaurants,Brunch Restaurant
2019-05-25,36.76,Gas & Fuel,QuikTrip
2019-05-25,30.99,Home Improvement,Hardware Store
2019-05-27,34.33,Restaurants,Mexican Restaurant
2019-05-28,765.68,Credit Card Payment,Credit Card Payment
2019-05-30,75.0,Internet,Internet Service Provider
2019-05-30,34.82,Restaurants,American Tavern
2019-06-01,13.09,Shopping,Amazon
2019-06-03,2.75,Coffee Shops,Starbucks
2019-06-03,1100.0,Mortgage & Rent,Mortgage Payment
2019-06-04,30.0,Haircut,Barbershop
2019-06-04,13.9,Television,Netflix
2019-06-05,23.0,Groceries,Grocery Store
2019-06-05,23.24,Restaurants,Mexican Restaurant
2019-06-06,3.75,Coffee Shops,Starbucks
2019-06-06,5.64,Groceries,Grocery Store
2019-06-07,458.56,Credit Card Payment,Credit Card Payment
2019-06-07,30.0,Utilities,Gas Company
2019-06-09,10.69,Music,Spotify
2019-06-12,65.0,Mobile Phone,Phone Company
2019-06-13,152.72,Credit Card Payment,Credit Card Payment
2019-06-14,10.69,Groceries,Grocery Store
2019-06-15,33.16,Gas & Fuel,BP
2019-06-17,35.0,Utilities,City Water Charges
